구분,지원자 ID,지원경로,포지션,지원일자,코딩테스트,코딩테스트_점수,코딩테스트_결과,서류전형,면접전형,면접전형_결과,입사일자,불합격 사유,,,,**업데이트 일자:,2026.05.19
개발,6561858,점핏,BE,2026-01-05 10:58,X,,,,,,,서류_병특아님,,,,,
개발,6561865,점핏,BE,2026. 1. 5,X,,,,,,,서류_설문 미응답,,,,,
개발,6561872,점핏,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6561878,점핏,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6561888,점핏,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6561893,점핏,BE,2026. 1. 5,X,,,,,,,서류_재지원자,,,,,
개발,6561901,점핏,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6561917,점핏,BE,2026. 1. 5,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6561924,점핏,BE,2026. 1. 5,X,,,,,,,서류_설문 미응답,,,,,
개발,6561932,점핏,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6561937,점핏,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6561946,점핏,BE,2026. 1. 5,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6561963,점핏,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6561966,점핏,BE,2026. 1. 5,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6561977,점핏,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6561987,점핏,BE,2026. 1. 5,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6561997,점핏,BE,2026. 1. 5,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6562103,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6562114,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6562119,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6562121,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6562124,잡코리아,BE,2026. 1. 5,O,312,불합격,,,,,코테_점수 미달,,,,,
개발,6562127,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6562135,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6562138,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6562139,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6562140,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_기타,,,,,
개발,6562145,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_설문 미응답,,,,,
개발,6562146,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6562148,잡코리아,BE,2026. 1. 5,X,,,,,,,서류_병특아님,,,,,
개발,6569987,사람인,BE,2026. 1. 5,O,,불합격,,,,,코테_기타,,,,,
개발,6623006,사람인,BE,2026. 1. 10,O,,불합격,,,,,코테_기타,,,,,
개발,6628755,사람인,BE,2026. 1. 11,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6653287,원티드,BE,2026. 1. 14,O,,불합격,,,,,코테_기타,,,,,
개발,6653291,원티드,BE,2026. 1. 14,O,,불합격,,,,,코테_기타,,,,,
개발,6653309,원티드,BE,2026. 1. 14,X,,,,,,,서류_병특아님,,,,,
개발,6653316,점핏,BE,2026. 1. 14,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6653330,점핏,BE,2026. 1. 14,X,,,,,,,서류_설문 미응답,,,,,
개발,6653335,점핏,BE,2026. 1. 14,O,216,불합격,,,,,코테_점수 미달,,,,,
개발,6653357,점핏,BE,2026. 1. 14,X,,,,,,,서류_병특아님,,,,,
개발,6653370,점핏,BE,2026. 1. 14,X,,,,,,,서류_설문 미응답,,,,,
개발,6653374,점핏,BE,2026. 1. 14,X,,,,,,,서류_병특아님,,,,,
개발,6653380,점핏,BE,2026. 1. 14,X,,,,,,,서류_병특아님,,,,,
개발,6653390,점핏,BE,2026. 1. 14,X,,,,,,,서류_설문 미응답,,,,,
개발,6653398,점핏,BE,2026. 1. 14,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6703998,점핏,BE,2026. 1. 20,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6703999,점핏,BE,2026. 1. 20,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6704010,점핏,BE,2026. 1. 20,O,426,합격,불합격,X,,,서류_불합격,,,,,
개발,6704016,점핏,BE,2026. 1. 20,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6721748,점핏,BE,2026. 1. 22,O,,불합격,,,,,코테_기타,,,,,
개발,6721753,점핏,BE,2026. 1. 22,X,,,,,,,서류_설문 미응답,,,,,
개발,6723125,원티드,BE,2026. 1. 22,O,,불합격,,,,,코테_기타,,,,,
개발,6723126,원티드,BE,2026. 1. 22,X,,,,,,,서류_병특아님,,,,,
개발,6723133,원티드,BE,2026. 1. 22,X,,,,,,,서류_설문 미응답,,,,,
개발,6723139,원티드,BE,2026. 1. 22,X,,,,,,,서류_외국인,,,,,
개발,6731183,잡코리아,BE,2026. 1. 23,X,,,,,,,서류_재지원자,,,,,
개발,6749313,점핏,BE,2026. 1. 26,X,,,,,,,서류_설문 미응답,,,,,
개발,6760026,원티드,BE,2026. 1. 27,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6770961,잡코리아,BE,2026. 1. 28,O,200,불합격,,,,,코테_점수 미달,,,,,
개발,6776611,사람인,BE,2026. 1. 29,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6802279,잡코리아,BE,2026. 2. 2,X,,,,,,,서류_기타,,,,,
개발,6819604,점핏,BE,2026. 2. 4,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6819606,점핏,BE,2026. 2. 4,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6819613,점핏,BE,2026. 2. 4,X,,,,,,,서류_병특아님,,,,,
개발,6850698,기타,BE,2026. 2. 9,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6863454,잡코리아,BE,2026. 2. 9,X,,,,,,,서류_설문 미응답,,,,,
개발,6885805,잡코리아,BE,2026. 2. 11,O,320,불합격,,,,,코테_점수 미달,,,,,
개발,6896544,잡코리아,BE,2026. 2. 13,X,,,,,,,서류_중복지원,,,,,
개발,6943826,점핏,BE,2026. 2. 23,X,,,,,,,서류_병특아님,,,,,
개발,6943862,점핏,BE,2026. 2. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,6943869,점핏,BE,2026. 2. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,6943877,점핏,BE,2026. 2. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,6953316,사람인,BE,2026. 2. 24,X,,,,,,,서류_병특아님,,,,,
개발,6974736,점핏,BE,2026. 2. 26,X,,,,,,,서류_설문 미응답,,,,,
개발,6974751,점핏,BE,2026. 2. 26,X,,,,,,,서류_설문 미응답,,,,,
개발,6974762,점핏,BE,2026. 2. 26,X,,,,,,,서류_병특아님,,,,,
개발,6999601,점핏,BE,2026. 3. 3,X,,,,,,,서류_병특아님,,,,,
개발,6999608,점핏,BE,2026. 3. 3,X,,,,,,,서류_병특아님,,,,,
개발,6999614,점핏,BE,2026. 3. 3,X,,,,,,,서류_기타,,,,,
개발,6999634,점핏,BE,2026. 3. 3,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7019283,기타,BE,2026. 3. 5,X,,,,,,,서류_병특아님,,,,,
개발,7025508,점핏,BE,2026. 3. 6,X,,,,,,,서류_병특아님,,,,,
개발,7025554,점핏,BE,2026. 3. 6,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7025578,점핏,BE,2026. 3. 6,X,,,,,,,서류_병특아님,,,,,
개발,7025591,점핏,BE,2026. 3. 6,X,,,,,,,서류_병특아님,,,,,
개발,7042966,점핏,BE,2026. 3. 9,O,396,합격,불합격,X,,,서류_불합격,,,,,
개발,7042999,점핏,BE,2026. 3. 9,X,,,,,,,서류_병특아님,,,,,
개발,7043025,점핏,BE,2026. 3. 9,X,,,,,,,서류_병특아님,,,,,
